0 с,   0.00 м/с
7374 с,   31999.01 м/с
7375 с,   31998.81 м/с
7376 с,   31998.58 м/с
7377 с,   31998.33 м/с
7378 с,   31998.07 м/с
7379 с,   31997.78 м/с
7380 с,   31997.47 м/с
7381 с,   31997.15 м/с
7382 с,   31996.80 м/с
7383 с,   31996.44 м/с
7384 с,   31996.05 м/с
7385 с,   31995.65 м/с
7386 с,   31995.23 м/с
7387 с,   31994.78 м/с
7388 с,   31994.32 м/с
7389 с,   31993.83 м/с
7390 с,   31993.33 м/с
7391 с,   31992.81 м/с
7392 с,   31992.27 м/с
7393 с,   31991.71 м/с
7394 с,   31991.12 м/с
7395 с,   31990.52 м/с
7396 с,   31989.90 м/с
7397 с,   31989.26 м/с
7398 с,   31988.60 м/с
7399 с,   31987.92 м/с
7400 с,   31987.22 м/с
7401 с,   31986.50 м/с
7402 с,   31985.77 м/с
7403 с,   31985.01 м/с
7404 с,   31984.23 м/с
7405 с,   31983.43 м/с
7406 с,   31982.62 м/с
7407 с,   31981.78 м/с
7408 с,   31980.92 м/с
7409 с,   31980.05 м/с
7410 с,   31979.15 м/с
7411 с,   31978.24 м/с
7412 с,   31977.30 м/с
7413 с,   31976.35 м/с
7414 с,   31975.38 м/с
7415 с,   31974.38 м/с
7416 с,   31973.37 м/с
7417 с,   31972.34 м/с
7418 с,   31971.29 м/с
7419 с,   31970.22 м/с
7420 с,   31969.13 м/с
7421 с,   31968.02 м/с
7422 с,   31966.89 м/с
7423 с,   31965.74 м/с
7424 с,   31964.57 м/с
7425 с,   31963.39 м/с
7426 с,   31962.18 м/с
7427 с,   31960.96 м/с
7428 с,   31959.71 м/с
7429 с,   31958.45 м/с
7430 с,   31957.16 м/с
7431 с,   31955.86 м/с
7432 с,   31954.54 м/с
7433 с,   31953.19 м/с
7434 с,   31951.83 м/с
7435 с,   31950.45 м/с
7436 с,   31949.05 м/с
7437 с,   31947.63 м/с
7438 с,   31946.20 м/с
7439 с,   31944.74 м/с
7440 с,   31943.26 м/с
7441 с,   31941.77 м/с
7442 с,   31940.25 м/с
7443 с,   31938.72 м/с
7444 с,   31937.17 м/с
7445 с,   31935.59 м/с
7446 с,   31934.00 м/с
7447 с,   31932.39 м/с
7448 с,   31930.76 м/с
7449 с,   31929.11 м/с
7450 с,   31927.45 м/с
7451 с,   31925.76 м/с
7452 с,   31924.06 м/с
7453 с,   31922.33 м/с
7454 с,   31920.59 м/с
7455 с,   31918.82 м/с
7456 с,   31917.04 м/с
7457 с,   31915.24 м/с
7458 с,   31913.42 м/с
7459 с,   31911.59 м/с
7460 с,   31909.73 м/с
7461 с,   31907.85 м/с
7462 с,   31905.96 м/с
7463 с,   31904.05 м/с
7464 с,   31902.11 м/с
7465 с,   31900.16 м/с
7466 с,   31898.19 м/с
7467 с,   31896.20 м/с
7468 с,   31894.20 м/с
7469 с,   31892.17 м/с
7470 с,   31890.13 м/с
7471 с,   31888.06 м/с
7472 с,   31885.98 м/с
7473 с,   31883.88 м/с
7474 с,   31881.76 м/с
7475 с,   31879.62 м/с
7476 с,   31877.47 м/с
7477 с,   31875.29 м/с
7478 с,   31873.10 м/с
7479 с,   31870.89 м/с
7480 с,   31868.66 м/с
7481 с,   31866.41 м/с
7482 с,   31864.14 м/с
7483 с,   31861.86 м/с
7484 с,   31859.55 м/с
7485 с,   31857.23 м/с
7486 с,   31854.89 м/с
7487 с,   31852.53 м/с
7488 с,   31850.15 м/с
7489 с,   31847.76 м/с
7490 с,   31845.35 м/с
7491 с,   31842.91 м/с
7492 с,   31840.46 м/с
7493 с,   31838.00 м/с
7494 с,   31835.51 м/с
7495 с,   31833.00 м/с
7496 с,   31830.48 м/с
7497 с,   31827.94 м/с
7498 с,   31825.38 м/с
7499 с,   31822.81 м/с
7500 с,   31820.21 м/с
7501 с,   31817.60 м/с
7502 с,   31814.97 м/с
7503 с,   31812.32 м/с
7504 с,   31809.65 м/с
7505 с,   31806.97 м/с
7506 с,   31804.27 м/с
7507 с,   31801.55 м/с
7508 с,   31798.81 м/с
7509 с,   31796.06 м/с
7510 с,   31793.28 м/с
7511 с,   31790.49 м/с
7512 с,   31787.68 м/с
7513 с,   31784.86 м/с
7514 с,   31782.01 м/с
7515 с,   31779.15 м/с
7516 с,   31776.27 м/с
7517 с,   31773.38 м/с
7518 с,   31770.46 м/с
7519 с,   31767.53 м/с
7520 с,   31764.58 м/с
7521 с,   31761.62 м/с
7522 с,   31758.63 м/с
7523 с,   31755.63 м/с
7524 с,   31752.61 м/с
7525 с,   31749.58 м/с
7526 с,   31746.52 м/с
7527 с,   31743.45 м/с
7528 с,   31740.37 м/с
7529 с,   31737.26 м/с
7530 с,   31734.14 м/с
7531 с,   31731.00 м/с
7532 с,   31727.85 м/с
7533 с,   31724.67 м/с
7534 с,   31721.48 м/с
7535 с,   31718.28 м/с
7536 с,   31715.05 м/с
7537 с,   31711.81 м/с
7538 с,   31708.55 м/с
7539 с,   31705.28 м/с
7540 с,   31701.99 м/с
7541 с,   31698.68 м/с
7542 с,   31695.36 м/с
7543 с,   31692.01 м/с
7544 с,   31688.66 м/с
7545 с,   31685.28 м/с
7546 с,   31681.89 м/с
7547 с,   31678.48 м/с
7548 с,   31675.06 м/с
7549 с,   31671.61 м/с
7550 с,   31668.16 м/с
7551 с,   31664.68 м/с
7552 с,   31661.19 м/с
7553 с,   31657.68 м/с
7554 с,   31654.16 м/с
7555 с,   31650.62 м/с
7556 с,   31647.07 м/с
7557 с,   31643.49 м/с
7558 с,   31639.90 м/с
7559 с,   31636.30 м/с
7560 с,   31632.68 м/с
7561 с,   31629.04 м/с
7562 с,   31625.39 м/с
7563 с,   31621.72 м/с
7564 с,   31618.03 м/с
7565 с,   31614.33 м/с
7566 с,   31610.62 м/с
7567 с,   31606.88 м/с
7568 с,   31603.13 м/с
7569 с,   31599.37 м/с
7570 с,   31595.59 м/с
7571 с,   31591.79 м/с
7572 с,   31587.98 м/с
7573 с,   31584.15 м/с
7574 с,   31580.31 м/с
7575 с,   31576.45 м/с
7576 с,   31572.58 м/с
7577 с,   31568.69 м/с
7578 с,   31564.78 м/с
7579 с,   31560.86 м/с
7580 с,   31556.92 м/с
7581 с,   31552.97 м/с
7582 с,   31549.01 м/с
7583 с,   31545.02 м/с
7584 с,   31541.03 м/с
7585 с,   31537.01 м/с
7586 с,   31532.99 м/с
7587 с,   31528.94 м/с
7588 с,   31524.89 м/с
7589 с,   31520.81 м/с
7590 с,   31516.72 м/с
7591 с,   31512.62 м/с
7592 с,   31508.50 м/с
7593 с,   31504.37 м/с
7594 с,   31500.22 м/с
7595 с,   31496.06 м/с
7596 с,   31491.88 м/с
7597 с,   31487.69 м/с
7598 с,   31483.48 м/с
7599 с,   31479.26 м/с
7600 с,   31475.03 м/с
7601 с,   31470.78 м/с
7602 с,   31466.51 м/с
7603 с,   31462.23 м/с
7604 с,   31457.94 м/с
7605 с,   31453.63 м/с
7606 с,   31449.31 м/с
7607 с,   31444.97 м/с
7608 с,   31440.62 м/с
7609 с,   31436.25 м/с
7610 с,   31431.87 м/с
7611 с,   31427.48 м/с
7612 с,   31423.07 м/с
7613 с,   31418.65 м/с
7614 с,   31414.21 м/с
7615 с,   31409.76 м/с
7616 с,   31405.30 м/с
7617 с,   31400.82 м/с
7618 с,   31396.33 м/с
7619 с,   31391.83 м/с
7620 с,   31387.31 м/с
7621 с,   31382.77 м/с
7622 с,   31378.23 м/с
7623 с,   31373.67 м/с
7624 с,   31369.09 м/с
7625 с,   31364.51 м/с
7626 с,   31359.91 м/с
7627 с,   31355.29 м/с
7628 с,   31350.67 м/с
7629 с,   31346.03 м/с
7630 с,   31341.37 м/с
7631 с,   31336.70 м/с
7632 с,   31332.02 м/с
7633 с,   31327.33 м/с
7634 с,   31322.62 м/с
7635 с,   31317.90 м/с
7636 с,   31313.17 м/с
7637 с,   31308.43 м/с
7638 с,   31303.67 м/с
7639 с,   31298.90 м/с
7640 с,   31294.11 м/с
7641 с,   31289.31 м/с
7642 с,   31284.51 м/с
7643 с,   31279.68 м/с
7644 с,   31274.85 м/с
7645 с,   31270.00 м/с
7646 с,   31265.14 м/с
7647 с,   31260.27 м/с
7648 с,   31255.38 м/с
7649 с,   31250.49 м/с
7650 с,   31245.58 м/с
7651 с,   31240.65 м/с
7652 с,   31235.72 м/с
7653 с,   31230.77 м/с
7654 с,   31225.81 м/с
7655 с,   31220.84 м/с
7656 с,   31215.86 м/с
7657 с,   31210.87 м/с
7658 с,   31205.86 м/с
7659 с,   31200.84 м/с
7660 с,   31195.81 м/с
7661 с,   31190.77 м/с
7662 с,   31185.71 м/с
7663 с,   31180.65 м/с
7664 с,   31175.57 м/с
7665 с,   31170.48 м/с
7666 с,   31165.38 м/с
7667 с,   31160.27 м/с
7668 с,   31155.15 м/с
7669 с,   31150.01 м/с
7670 с,   31144.86 м/с
7671 с,   31139.71 м/с
7672 с,   31134.54 м/с
7673 с,   31129.36 м/с
7674 с,   31124.17 м/с
7675 с,   31118.96 м/с
7676 с,   31113.75 м/с
7677 с,   31108.53 м/с
7678 с,   31103.29 м/с
7679 с,   31098.05 м/с
7680 с,   31092.79 м/с
7681 с,   31087.52 м/с
7682 с,   31082.24 м/с
7683 с,   31076.95 м/с
7684 с,   31071.65 м/с
7685 с,   31066.34 м/с
7686 с,   31061.02 м/с
7687 с,   31055.69 м/с
7688 с,   31050.35 м/с
7689 с,   31045.00 м/с
7690 с,   31039.63 м/с
7691 с,   31034.26 м/с
7692 с,   31028.88 м/с
7693 с,   31023.49 м/с
7694 с,   31018.08 м/с
7695 с,   31012.67 м/с
7696 с,   31007.25 м/с
7697 с,   31001.81 м/с
7698 с,   30996.37 м/с
7699 с,   30990.92 м/с
7700 с,   30985.45 м/с
7701 с,   30979.98 м/с
7702 с,   30974.50 м/с
7703 с,   30969.01 м/с
7704 с,   30963.51 м/с
7705 с,   30958.00 м/с
7706 с,   30952.48 м/с
7707 с,   30946.95 м/с
7708 с,   30941.41 м/с
7709 с,   30935.86 м/с
7710 с,   30930.30 м/с
7711 с,   30924.74 м/с
7712 с,   30919.16 м/с
7713 с,   30913.57 м/с
7714 с,   30907.98 м/с
7715 с,   30902.38 м/с
7716 с,   30896.77 м/с
7717 с,   30891.15 м/с
7718 с,   30885.52 м/с
7719 с,   30879.88 м/с
7720 с,   30874.23 м/с
7721 с,   30868.58 м/с
7722 с,   30862.91 м/с
7723 с,   30857.24 м/с
7724 с,   30851.56 м/с
7725 с,   30845.87 м/с
7726 с,   30840.17 м/с
7727 с,   30834.47 м/с
7728 с,   30828.75 м/с
7729 с,   30823.03 м/с
7730 с,   30817.30 м/с
7731 с,   30811.56 м/с
7732 с,   30805.81 м/с
7733 с,   30800.06 м/с
7734 с,   30794.30 м/с
7735 с,   30788.53 м/с
7736 с,   30782.75 м/с
7737 с,   30776.96 м/с
7738 с,   30771.17 м/с
7739 с,   30765.37 м/с
7740 с,   30759.56 м/с
7741 с,   30753.74 м/с
7742 с,   30747.92 м/с
7743 с,   30742.09 м/с
7744 с,   30736.25 м/с
7745 с,   30730.40 м/с
7746 с,   30724.55 м/с
7747 с,   30718.69 м/с
7748 с,   30712.82 м/с
7749 с,   30706.95 м/с
7750 с,   30701.07 м/с
7751 с,   30695.18 м/с
7752 с,   30689.29 м/с
7753 с,   30683.38 м/с
7754 с,   30677.48 м/с
7755 с,   30671.56 м/с
7756 с,   30665.64 м/с
7757 с,   30659.71 м/с
7758 с,   30653.78 м/с
7759 с,   30647.83 м/с
7760 с,   30641.89 м/с
7761 с,   30635.93 м/с
7762 с,   30629.97 м/с
7763 с,   30624.01 м/с
7764 с,   30618.03 м/с
7765 с,   30612.06 м/с
7766 с,   30606.07 м/с
7767 с,   30600.08 м/с
7768 с,   30594.08 м/с
7769 с,   30588.08 м/с
7770 с,   30582.07 м/с
7771 с,   30576.06 м/с
7772 с,   30570.04 м/с
7773 с,   30564.01 м/с
7774 с,   30557.98 м/с
7775 с,   30551.95 м/с
7776 с,   30545.90 м/с
7777 с,   30539.86 м/с
7778 с,   30533.80 м/с
7779 с,   30527.75 м/с
7780 с,   30521.68 м/с
7781 с,   30515.61 м/с
7782 с,   30509.54 м/с
7783 с,   30503.46 м/с
7784 с,   30497.38 м/с
7785 с,   30491.29 м/с
7786 с,   30485.20 м/с
7787 с,   30479.10 м/с
7788 с,   30473.00 м/с
7789 с,   30466.89 м/с
7790 с,   30460.78 м/с
7791 с,   30454.66 м/с
7792 с,   30448.54 м/с
7793 с,   30442.42 м/с
7794 с,   30436.29 м/с
7795 с,   30430.15 м/с
7796 с,   30424.01 м/с
7797 с,   30417.87 м/с
7798 с,   30411.73 м/с
7799 с,   30405.57 м/с
7800 с,   30399.42 м/с
7801 с,   30393.26 м/с
7802 с,   30387.10 м/с
7803 с,   30380.93 м/с
7804 с,   30374.76 м/с
7805 с,   30368.59 м/с
7806 с,   30362.41 м/с
7807 с,   30356.23 м/с
7808 с,   30350.05 м/с
7809 с,   30343.86 м/с
7810 с,   30337.67 м/с
7811 с,   30331.47 м/с
7812 с,   30325.27 м/с
7813 с,   30319.07 м/с
7814 с,   30312.87 м/с
7815 с,   30306.66 м/с
7816 с,   30300.45 м/с
7817 с,   30294.24 м/с
7818 с,   30288.02 м/с
7819 с,   30281.80 м/с
7820 с,   30275.58 м/с
7821 с,   30269.36 м/с
7822 с,   30263.13 м/с
7823 с,   30256.90 м/с
7824 с,   30250.67 м/с
7825 с,   30244.43 м/с
7826 с,   30238.19 м/с
7827 с,   30231.95 м/с
7828 с,   30225.71 м/с
7829 с,   30219.47 м/с
7830 с,   30213.22 м/с
7831 с,   30206.97 м/с
7832 с,   30200.72 м/с
7833 с,   30194.47 м/с
7834 с,   30188.22 м/с
7835 с,   30181.96 м/с
7836 с,   30175.70 м/с
7837 с,   30169.44 м/с
7838 с,   30163.18 м/с
7839 с,   30156.92 м/с
7840 с,   30150.65 м/с
7841 с,   30144.39 м/с
7842 с,   30138.12 м/с
7843 с,   30131.85 м/с
7844 с,   30125.58 м/с
7845 с,   30119.31 м/с
7846 с,   30113.04 м/с
7847 с,   30106.76 м/с
7848 с,   30100.49 м/с
7849 с,   30094.21 м/с
7850 с,   30087.94 м/с
7851 с,   30081.66 м/с
7852 с,   30075.38 м/с
7853 с,   30069.10 м/с
7854 с,   30062.82 м/с
7855 с,   30056.54 м/с
7856 с,   30050.26 м/с
7857 с,   30043.98 м/с
7858 с,   30037.70 м/с
7859 с,   30031.41 м/с
7860 с,   30025.13 м/с
7861 с,   30018.85 м/с
7862 с,   30012.57 м/с
7863 с,   30006.28 м/с
7864 с,   30000.00 м/с
7865 с,   29993.72 м/с
7866 с,   29987.43 м/с
7867 с,   29981.15 м/с
7868 с,   29974.87 м/с
7869 с,   29968.59 м/с
7870 с,   29962.30 м/с
7871 с,   29956.02 м/с
7872 с,   29949.74 м/с
7873 с,   29943.46 м/с
7874 с,   29937.18 м/с
7875 с,   29930.90 м/с
7876 с,   29924.62 м/с
7877 с,   29918.34 м/с
7878 с,   29912.06 м/с
7879 с,   29905.79 м/с
7880 с,   29899.51 м/с
7881 с,   29893.24 м/с
7882 с,   29886.96 м/с
7883 с,   29880.69 м/с
7884 с,   29874.42 м/с
7885 с,   29868.15 м/с
7886 с,   29861.88 м/с
7887 с,   29855.61 м/с
7888 с,   29849.35 м/с
7889 с,   29843.08 м/с
7890 с,   29836.82 м/с
7891 с,   29830.56 м/с
7892 с,   29824.30 м/с
7893 с,   29818.04 м/с
7894 с,   29811.78 м/с
7895 с,   29805.53 м/с
7896 с,   29799.28 м/с
7897 с,   29793.03 м/с
7898 с,   29786.78 м/с
7899 с,   29780.53 м/с
7900 с,   29774.29 м/с
7901 с,   29768.05 м/с
7902 с,   29761.81 м/с
7903 с,   29755.57 м/с
7904 с,   29749.33 м/с
7905 с,   29743.10 м/с
7906 с,   29736.87 м/с
7907 с,   29730.64 м/с
7908 с,   29724.42 м/с
7909 с,   29718.20 м/с
7910 с,   29711.98 м/с
7911 с,   29705.76 м/с
7912 с,   29699.55 м/с
7913 с,   29693.34 м/с
7914 с,   29687.13 м/с
7915 с,   29680.93 м/с
7916 с,   29674.73 м/с
7917 с,   29668.53 м/с
7918 с,   29662.33 м/с
7919 с,   29656.14 м/с
7920 с,   29649.95 м/с
7921 с,   29643.77 м/с
7922 с,   29637.59 м/с
7923 с,   29631.41 м/с
7924 с,   29625.24 м/с
7925 с,   29619.07 м/с
7926 с,   29612.90 м/с
7927 с,   29606.74 м/с
7928 с,   29600.58 м/с
7929 с,   29594.43 м/с
7930 с,   29588.27 м/с
7931 с,   29582.13 м/с
7932 с,   29575.99 м/с
7933 с,   29569.85 м/с
7934 с,   29563.71 м/с
7935 с,   29557.58 м/с
7936 с,   29551.46 м/с
7937 с,   29545.34 м/с
7938 с,   29539.22 м/с
7939 с,   29533.11 м/с
7940 с,   29527.00 м/с
7941 с,   29520.90 м/с
7942 с,   29514.80 м/с
7943 с,   29508.71 м/с
7944 с,   29502.62 м/с
7945 с,   29496.54 м/с
7946 с,   29490.46 м/с
7947 с,   29484.39 м/с
7948 с,   29478.32 м/с
7949 с,   29472.25 м/с
7950 с,   29466.20 м/с
7951 с,   29460.14 м/с
7952 с,   29454.10 м/с
7953 с,   29448.05 м/с
7954 с,   29442.02 м/с
7955 с,   29435.99 м/с
7956 с,   29429.96 м/с
7957 с,   29423.94 м/с
7958 с,   29417.93 м/с
7959 с,   29411.92 м/с
7960 с,   29405.92 м/с
7961 с,   29399.92 м/с
7962 с,   29393.93 м/с
7963 с,   29387.94 м/с
7964 с,   29381.97 м/с
7965 с,   29375.99 м/с
7966 с,   29370.03 м/с
7967 с,   29364.07 м/с
7968 с,   29358.11 м/с
7969 с,   29352.17 м/с
7970 с,   29346.22 м/с
7971 с,   29340.29 м/с
7972 с,   29334.36 м/с
7973 с,   29328.44 м/с
7974 с,   29322.52 м/с
7975 с,   29316.62 м/с
7976 с,   29310.71 м/с
7977 с,   29304.82 м/с
7978 с,   29298.93 м/с
7979 с,   29293.05 м/с
7980 с,   29287.18 м/с
7981 с,   29281.31 м/с
7982 с,   29275.45 м/с
7983 с,   29269.60 м/с
7984 с,   29263.75 м/с
7985 с,   29257.91 м/с
7986 с,   29252.08 м/с
7987 с,   29246.26 м/с
7988 с,   29240.44 м/с
7989 с,   29234.63 м/с
7990 с,   29228.83 м/с
7991 с,   29223.04 м/с
7992 с,   29217.25 м/с
7993 с,   29211.47 м/с
7994 с,   29205.70 м/с
7995 с,   29199.94 м/с
7996 с,   29194.19 м/с
7997 с,   29188.44 м/с
7998 с,   29182.70 м/с
7999 с,   29176.97 м/с
8000 с,   29171.25 м/с
8001 с,   29165.53 м/с
8002 с,   29159.83 м/с
8003 с,   29154.13 м/с
8004 с,   29148.44 м/с
8005 с,   29142.76 м/с
8006 с,   29137.09 м/с
8007 с,   29131.42 м/с
8008 с,   29125.77 м/с
8009 с,   29120.12 м/с
8010 с,   29114.48 м/с
8011 с,   29108.85 м/с
8012 с,   29103.23 м/с
8013 с,   29097.62 м/с
8014 с,   29092.02 м/с
8015 с,   29086.43 м/с
8016 с,   29080.84 м/с
8017 с,   29075.26 м/с
8018 с,   29069.70 м/с
8019 с,   29064.14 м/с
8020 с,   29058.59 м/с
8021 с,   29053.05 м/с
8022 с,   29047.52 м/с
8023 с,   29042.00 м/с
8024 с,   29036.49 м/с
8025 с,   29030.99 м/с
8026 с,   29025.50 м/с
8027 с,   29020.02 м/с
8028 с,   29014.55 м/с
8029 с,   29009.08 м/с
8030 с,   29003.63 м/с
8031 с,   28998.19 м/с
8032 с,   28992.75 м/с
8033 с,   28987.33 м/с
8034 с,   28981.92 м/с
8035 с,   28976.51 м/с
8036 с,   28971.12 м/с
8037 с,   28965.74 м/с
8038 с,   28960.37 м/с
8039 с,   28955.00 м/с
8040 с,   28949.65 м/с
8041 с,   28944.31 м/с
8042 с,   28938.98 м/с
8043 с,   28933.66 м/с
8044 с,   28928.35 м/с
8045 с,   28923.05 м/с
8046 с,   28917.76 м/с
8047 с,   28912.48 м/с
8048 с,   28907.21 м/с
8049 с,   28901.95 м/с
8050 с,   28896.71 м/с
8051 с,   28891.47 м/с
8052 с,   28886.25 м/с
8053 с,   28881.04 м/с
8054 с,   28875.83 м/с
8055 с,   28870.64 м/с
8056 с,   28865.46 м/с
8057 с,   28860.29 м/с
8058 с,   28855.14 м/с
8059 с,   28849.99 м/с
8060 с,   28844.85 м/с
8061 с,   28839.73 м/с
8062 с,   28834.62 м/с
8063 с,   28829.52 м/с
8064 с,   28824.43 м/с
8065 с,   28819.35 м/с
8066 с,   28814.29 м/с
8067 с,   28809.23 м/с
8068 с,   28804.19 м/с
8069 с,   28799.16 м/с
8070 с,   28794.14 м/с
8071 с,   28789.13 м/с
8072 с,   28784.14 м/с
8073 с,   28779.16 м/с
8074 с,   28774.19 м/с
8075 с,   28769.23 м/с
8076 с,   28764.28 м/с
8077 с,   28759.35 м/с
8078 с,   28754.42 м/с
8079 с,   28749.51 м/с
8080 с,   28744.62 м/с
8081 с,   28739.73 м/с
8082 с,   28734.86 м/с
8083 с,   28730.00 м/с
8084 с,   28725.15 м/с
8085 с,   28720.32 м/с
8086 с,   28715.49 м/с
8087 с,   28710.69 м/с
8088 с,   28705.89 м/с
8089 с,   28701.10 м/с
8090 с,   28696.33 м/с
8091 с,   28691.57 м/с
8092 с,   28686.83 м/с
8093 с,   28682.10 м/с
8094 с,   28677.38 м/с
8095 с,   28672.67 м/с
8096 с,   28667.98 м/с
8097 с,   28663.30 м/с
8098 с,   28658.63 м/с
8099 с,   28653.97 м/с
8100 с,   28649.33 м/с
8101 с,   28644.71 м/с
8102 с,   28640.09 м/с
8103 с,   28635.49 м/с
8104 с,   28630.91 м/с
8105 с,   28626.33 м/с
8106 с,   28621.77 м/с
8107 с,   28617.23 м/с
8108 с,   28612.69 м/с
